No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Topic,Difficulty
39,Identify the correct sentence:,She writed a letter.,She wrote a letter.,She write a letter.,She writing a letter.,B,Simple Past,Advanced
40,Choose the correct sentence: “The class starts ___ 8 AM.”,in,at,on,by,B,Prepositions of Time,Basic
41,Complete the sentence: “She was born ___ July 4th.”,in,at,on,over,C,Prepositions of Time,Intermediate
42,Identify the correct sentence:,I always work at the morning.,I always work in the morning.,I always work on the morning.,I always work during morning.,B,Prepositions of Time,Advanced
43,Where is the cat? “It’s ___ the table.”,in,on,at,to,B,Prepositions of Place,Basic
44,Choose the correct sentence: “The museum is ___ the left side of the street.”,in,on,to,by,B,Prepositions of Place,Intermediate
45,Identify the correct prepositional phrase:,The dog slept beside the fireplace.,The dog slept over the fireplace.,The dog slept under the fireplace.,The dog slept between the fireplace.,A,Prepositions of Place,Advanced
46,What does “Who” ask about?,A place,A reason,A person,A time,C,Wh- Questions,Basic
47,Choose the correct question: “___ are you going to the store?”,What,Why,Where,When,D,Wh- Questions,Intermediate
48,Choose the grammatically correct sentence:,Why he left early?,Why did he left early?,Why did he leave early?,Why did he leaving early?,C,Wh- Questions,Advanced
49,Choose the correct past progressive form: “I ___ reading when you called.”,am,was,were,be,B,Past Progressive,Basic
50,Complete the sentence: “They ___ playing soccer while it was raining.”,are,is,were,was,C,Past Progressive,Intermediate
51,Choose the best sentence:,He was working while she was cooking.,He working while she cooking.,He was work while she cooked.,He is working while she cooks.,A,Past Progressive,Advanced
52,Choose the correct sentence: “He ___ run when he was 5.”,could,can,may,would,A,Modals of Ability - Past,Basic
53,Complete the sentence: “She ___ swim well when she was younger.”,could,can,might,must,A,Modals of Ability - Past,Intermediate
54,Identify the correct sentence:,I can danced when I was a child.,I could dance when I was a child.,I could danced when I was a child.,I can dance when I was a child.,B,Modals of Ability - Past,Advanced
55,Choose the correct sentence: “He walked ___ the room.”,into,onto,out,acrossed,A,Prepositions of Direction,Basic
56,Fill in the blank: “She ran ___ the stairs quickly.”,onto,into,up,to,C,Prepositions of Direction,Intermediate
57,Identify the correct phrase:,He went inside to the house.,He went inside of the house.,He went inside the house.,He went into inside the house.,C,Prepositions of Direction,Advanced
58,Choose the correct future form: “I ___ visit my grandmother tomorrow.”,will,am,did,was,A,Simple Future,Basic
59,Complete the sentence: “She ___ be here by 5 PM.”,will,is,does,was,A,Simple Future,Intermediate
60,Choose the correct sentence:,I am going to visit the museum.,I going to visit the museum.,I am go to visit the museum.,I am visited the museum.,A,Simple Future,Advanced
61,Choose the correct sentence: “I am ___ the cold weather now.”,used to,get used to,use to,using to,A,Get Used To / Be Used to,Basic
62,Complete the sentence: “She is getting ___ waking up early.”,use to,used to,get used to,used,B,Get Used To / Be Used to,Intermediate
63,Choose the correct usage: “I never thought I’d ___ working night shifts.”,be used to,get used to,used to,be use to,B,Get Used To / Be Used to,Advanced
64,Identify the non-count noun:,Chair,Sugar,Apples,Books,B,Count and Non-count Nouns,Basic
65,Which of these is a count noun?,Rice,Information,Car,Water,C,Count and Non-count Nouns,Intermediate
66,Choose the correct sentence:,She has many information.,She has a lot of informations.,She has much information.,She has many informations.,C,Count and Non-count Nouns,Advanced
67,Choose the correct usage: “There isn’t ___ milk left.”,many,much,some,few,B,Much,Basic
68,Complete the sentence: “How ___ time do we have?”,many,some,much,few,C,Much,Intermediate
69,Choose the grammatically correct option:,There are much reasons to stay.,There is many reason to stay.,There are many reasons to stay.,There are much reason to stay.,C,Much,Advanced
70,Which sentence is correct? “There are ___ books on the table.”,much,many,few,little,B,Many,Basic
71,Complete the sentence: “How ___ students are in your class?”,much,many,some,little,B,Many,Intermediate
72,Choose the correct sentence:,She has many homeworks.,She has many homework.,She has much homework.,She has a many homework.,C,Many,Advanced
73,Choose the correct sentence: “I have ___ free time today.”,any,some,much,many,B,Some,Basic
74,Fill in the blank: “We need to buy ___ eggs.”,some,many,much,little,A,Some,Intermediate
75,Choose the grammatically correct usage:,He didn’t give me some advice.,He didn’t give me any advice.,He didn’t give me much advices.,He didn’t give me any advices.,B,Some,Advanced
76,Choose the correct sentence: “Do you have ___ questions?”,some,any,much,many,B,Any,Basic
77,Choose the correct option: “We don’t have ___ milk left.”,any,some,few,much,A,Any,Intermediate
78,Identify the correct sentence:,He never did some of the homework.,He never did any of the homework.,He didn’t do some of the homework.,He did not some of the homework.,B,Any,Advanced
79,Choose the correct adverb: “He ran ___ to catch the bus.”,quick,quickly,quicker,quickness,B,Adverbs of Manner,Basic
80,Complete the sentence: “She sings ___.”,beautifully,beauty,beautiful,beautify,A,Adverbs of Manner,Intermediate
81,Choose the grammatically correct sentence:,He speaks fluent.,He speaks fluently.,He speaks fluently good.,He fluents well.,B,Adverbs of Manner,Advanced
82,Choose the correct sentence: “That is ___ car.”,my friend,my friend’s,my friend is,my friends,B,Possessive Nouns,Basic
83,Fill in the blank: “The ___ desks are in the classroom.”,students,student’s,students’,students’s,C,Possessive Nouns,Intermediate
84,Choose the correct possessive form: “___ house is very old.”,The John’s,John’s,Johns,John,B,Possessive Nouns,Advanced
85,Choose the correct adjective: “The story was ___.”,boring,bored,bore,bores,A,Participial Adjectives,Basic
86,Complete the sentence: “I was really ___ after the long meeting.”,tiring,tired,tire,tiresome,B,Participial Adjectives,Intermediate
87,Identify the correct sentence:,The news was shocking.,The news was shocked.,The news was shock.,The news was shockful.,A,Participial Adjectives,Advanced
88,Choose the correct sentence: “She has ___ finished her homework.”,already,yet,still,even,A,Present Perfect,Basic
89,Complete the sentence: “Have you ___ been to New York?”,ever,never,already,just,A,Present Perfect,Intermediate
90,Choose the correct question:,Did you have visited Paris?,Have you visited Paris?,Have you visit Paris?,Has you visited Paris?,B,Present Perfect,Advanced
91,Choose the correct conjunction: “I like tea ___ coffee.”,and,or,but,so,A,Basic Conjunctions,Basic
92,"Complete the sentence: “She was tired, ___ she went to bed early.”",and,or,but,so,D,Basic Conjunctions,Intermediate
93,"Choose the correct option: “He can come with us, ___ he wants to.”",but,if,and,or,B,Basic Conjunctions,Advanced
94,Choose the correct sentence: “You ___ see a doctor.”,should,must,can,may,A,Modal of Advice,Basic
95,Fill in the blank: “You ___ talk to your teacher about the problem.”,could,should,might,can,B,Modal of Advice,Intermediate
96,Choose the best option for advice:,You must study more.,You should to study more.,You should study more.,You have to study more.,C,Modal of Advice,Advanced
97,Choose the correct modal: “You ___ wear a helmet when biking.”,should,have to,must,all are correct depending on context,D,Modal of Necessity & Obligation,Basic
98,Complete the sentence: “Students ___ bring their ID cards to the exam.”,must,can,should,might,A,Modal of Necessity & Obligation,Intermediate
99,Identify the most appropriate sentence:,You should to bring your passport.,You must bringing your passport.,You have to bring your passport.,You might bringing your passport.,C,Modal of Necessity & Obligation,Advanced
100,"Choose the correct form: “If it rains, I ___ stay home.”",will,would,can,have,A,First Conditional,Basic
101,"Complete the sentence: “If he studies, he ___ pass the test.”",might,will,would,should,B,First Conditional,Intermediate
102,Choose the correct sentence:,"If I see him, I will tell him.","If I will see him, I tell him.","If I saw him, I would tell him.","If I see him, I telling him.",A,First Conditional,Advanced
103,Which is a comparative adjective?,taller,tallest,tall,most tall,A,Comparative Adjectives,Basic
104,Complete the sentence: “This book is ___ than that one.”,gooder,better,best,good,B,Comparative Adjectives,Intermediate
105,Choose the correct sentence:,He is more intelligent than his brother.,He is intelligenter than his brother.,He is most intelligent than his brother.,He is the most intelligent than his brother.,A,Comparative Adjectives,Advanced
106,Choose the superlative form: “He is the ___ boy in class.”,tall,taller,tallest,most tall,C,Superlative Adjectives,Basic
107,Complete the sentence: “This is the ___ movie I’ve ever seen.”,worse,badder,worst,most bad,C,Superlative Adjectives,Intermediate
108,Identify the correct sentence:,She is the more smart student.,She is most smartest.,She is the smartest.,She is smartest.,C,Superlative Adjectives,Advanced
109,Choose the correct form: “I enjoy ___ music.”,to play,playing,played,play,B,Gerunds & Infinitives,Basic
110,Complete the sentence: “She wants ___ a doctor.”,be,being,to be,become,C,Gerunds & Infinitives,Intermediate
111,Choose the correct usage:,I avoided to talk to him.,I avoided talking to him.,I avoided talk to him.,I avoided talked to him.,B,Gerunds & Infinitives,Advanced
112,Choose the correct pronoun: “She made it ___.”,herself,itself,themselves,himself,A,Reflexive Pronouns,Basic
113,Complete the sentence: “They cooked dinner by ___.”,theyself,themselves,theirselves,themself,B,Reflexive Pronouns,Intermediate
114,Choose the grammatically correct sentence:,I fixed it by me.,I fixed it myself.,I fixed it me.,I myself fixed it.,B,Reflexive Pronouns,Advanced
115,Which of these is an indefinite pronoun?,Someone,He,Theirs,Ours,A,Indefinite Pronouns,Basic
116,Fill in the blank: “___ left their backpack in the hall.”,Somebody,He,The boy,Mine,A,Indefinite Pronouns,Intermediate
117,Choose the correct sentence:,Anybody doesn’t want to leave.,Nobody wants to leave.,Someone don’t want to leave.,Everyone isn’t want to leave.,B,Indefinite Pronouns,Advanced
118,Choose the correct sentence: “I have ___ working here for two years.”,be,been,being,was,B,Present Perfect Progressive,Basic
119,Complete the sentence: “She ___ been studying all night.”,have,had,has,having,C,Present Perfect Progressive,Intermediate
120,Identify the correct sentence:,We has been trying to call you.,We have trying to call you.,We have been trying to call you.,We been trying to call you.,C,Present Perfect Progressive,Advanced
121,Choose the correct sentence: “He looks ___ his brother.”,like,likes,be like,look like,A,Like / Look Like / Be Like,Basic
122,Complete the sentence: “What’s your teacher ___?”,be like,look,like,look like,A,Like / Look Like / Be Like,Intermediate
123,Choose the correct usage: “She is ___ her mother—kind and funny.”,like,looks like,be like,being like,A,Like / Look Like / Be Like,Advanced
124,Which verb fits? “Can I ___ your book?”,borrow,lend,give,take,A,Borrow / Lend,Basic
125,Complete the sentence: “Could you ___ me some money?”,borrow,lend,give,take,B,Borrow / Lend,Intermediate
126,Choose the correct sentence:,She lent me her notes.,She borrowed me her notes.,She lent her notes from me.,She borrows me her notes.,A,Borrow / Lend,Advanced
127,"Choose the correct tag: “You’re coming, ___?”",isn’t it,are you,aren’t you,will you,C,Tag Questions,Basic
128,"Complete the sentence: “He can swim, ___?”",can’t he,isn’t he,doesn’t he,didn’t he,A,Tag Questions,Intermediate
129,Identify the correct tag question:,"They’ve gone, haven’t they?","They’ve gone, didn’t they?","They’ve gone, doesn’t they?","They’ve gone, hasn’t they?",A,Tag Questions,Advanced
130,Choose the correct verb collocation: “She ___ a decision quickly.”,did,made,gave,took,B,Verb Collocations,Basic
131,Complete the sentence: “He ___ a promise to help.”,made,did,took,gave,A,Verb Collocations,Intermediate
132,Choose the correct expression:,I did a mistake.,I made a mistake.,I took a mistake.,I gave a mistake.,B,Verb Collocations,Advanced
133,Where is the book? “It’s ___ the bag.”,on,in,to,under,B,Prepositions,Basic
134,Complete the sentence: “She sat ___ the chair and waited.”,in,on,to,into,B,Prepositions,Intermediate
135,Identify the correct sentence:,The cat is hiding under the bed.,The cat is hiding into the bed.,The cat is hiding in under the bed.,The cat is hiding over the bed.,A,Prepositions,Advanced
136,Choose the correct modal: “It ___ rain later.”,can,must,might,shall,C,Modals of Possibility,Basic
137,Complete the sentence: “They ___ be home by now; the lights are on.”,might,could,must,can,C,Modals of Possibility,Intermediate
138,Identify the correct sentence:,He can be at the party.,He might be at the party.,He should be at the party.,"He may be at the party, isn’t he?",B,Modals of Possibility,Advanced
139,Which adverb shows equality? “She runs ___ fast ___ her brother.”,more / than,as / as,less / than,so / than,B,"Equative, Comparative & Superlative Adverbs",Basic
140,Complete the sentence: “He drives ___ than I expected.”,faster,fastly,more fast,fastest,A,"Equative, Comparative & Superlative Adverbs",Intermediate
141,Choose the correct sentence:,She speaks the most fluently in the class.,She speaks the more fluently in the class.,She speaks fluent than the others.,She speaks fluentlyer than the others.,A,"Equative, Comparative & Superlative Adverbs",Advanced
142,Choose the correct comparative form: “He arrived ___ than usual.”,late,later,latest,lately,B,"Equative, Comparative & Superlative Adverbs",Basic
143,"Complete the sentence: “Of all the students, she writes ___.”",more neatly,neatly,the most neatly,most neatly,C,"Equative, Comparative & Superlative Adverbs",Intermediate
144,Choose the grammatically correct sentence:,He runs more quicker than me.,He runs as quickly as his brother.,He runs quickly than his brother.,He runs quicker as his brother.,B,"Equative, Comparative & Superlative Adverbs",Advanced
145,Choose the sentence using a modal of possibility correctly: “It ___ be too late to call now.”,can,must,might,will,C,Modals of Possibility,Basic
146,Complete the sentence: “They ___ be lost. They’ve never been here before.”,might,can,must,should,A,Modals of Possibility,Intermediate
147,Identify the correct sentence:,You could be right.,"You must be right, maybe.","You might be right, can you?",You can must be right.,A,Modals of Possibility,Advanced
148,Choose the correct comparison: “She works ___ than anyone else.”,harder,hard,hardest,more hard,A,"Equative, Comparative & Superlative Adverbs",Basic
149,Complete the sentence: “He drives ___ of all the team.”,fastest,more fast,fastlier,the most fast,A,"Equative, Comparative & Superlative Adverbs",Intermediate
150,Choose the correct sentence:,He speaks as clearly as his teacher.,He speaks clearer as his teacher.,He speaks more clearer as his teacher.,He speaks most clearly his teacher.,A,"Equative, Comparative & Superlative Adverbs",Advanced
151,Choose the correct subject pronoun: “___ am going to the store.”,You,I,We,They,B,Subject Pronouns,Basic
152,Which subject pronoun replaces “Tom and Jerry”?,He,It,They,You,C,Subject Pronouns,Intermediate
153,"Choose the correct pronoun: “Neither Kate nor I knew, but ___ admitted it.”",we,I,she,we both,A,Subject Pronouns,Advanced
154,Choose the correct article: “She bought ___ umbrella.”,a,an,the,some,B,"Articles A, An",Basic
155,Which article is used in “He adopted ___ animal from the shelter”?,an,a,the,some,B,"Articles A, An",Intermediate
156,Identify the correct sentence:,I saw a elephant at the zoo.,I saw an elephant at the zoo.,I saw some elephant at the zoo.,I saw the elephant at zoo.,B,"Articles A, An",Advanced
157,Choose the correct form: “They ___ students.”,is,are,am,be,B,Verb To Be,Basic
158,Complete the sentence: “She ___ not happy about the news.”,are,is,am,were,B,Verb To Be,Intermediate
159,Identify the correct sentence:,They was going to the mall.,They are go to the mall.,They were going to the mall.,They going to the mall.,C,Verb To Be,Advanced
160,Choose the correct object pronoun: “Can you help ___?”,I,me,mine,myself,B,Object Pronouns,Basic
161,Fill in the blank: “She gave the keys to ___.”,he,him,his,hims,B,Object Pronouns,Intermediate
162,Choose the correct sentence:,They invited we to the party.,They invited us to the party.,They invited our to the party.,They invited ourselves.,B,Object Pronouns,Advanced
163,What is the plural of “box”?,boxs,boxies,boxes,boxen,C,Singular and Plural Nouns,Basic
164,"Choose the correct plural: “One goose, two ___.”",gooses,geese,goose,geeses,B,Singular and Plural Nouns,Intermediate
165,Identify the correct sentence:,The childs are playing outside.,The children is playing outside.,The children are playing outside.,The children be playing outside.,C,Singular and Plural Nouns,Advanced
166,Choose the correct possessive adjective: “This is ___ house.”,mine,my,me,I,B,Possessive Adjective,Basic
167,Fill in the blank: “Each cat has ___ own food bowl.”,his,its,their,her,B,Possessive Adjective,Intermediate
168,Identify the correct sentence:,Her eyes are blue.,Hers eyes are blue.,She eyes are blue.,Her’s eyes are blue.,A,Possessive Adjective,Advanced
169,Choose the correct sentence: “He ___ to school every day.”,go,goes,going,gone,B,Simple Present,Basic
170,Fill in the blank: “My parents ___ work on weekends.”,doesn’t,don’t,isn’t,aren’t,B,Simple Present,Intermediate
171,Choose the correct form: “Water ___ at 100 degrees Celsius.”,boil,boils,boiling,boiled,B,Simple Present,Advanced
172,Complete the sentence: “We ___ studying for the exam.”,are,is,am,be,A,Present Progressive,Basic
173,Choose the correct sentence: “She ___ reading a great book now.”,is,are,was,has,A,Present Progressive,Intermediate
174,Identify the correct structure:,They are playing outside.,They playing outside.,They is playing outside.,They plays outside.,A,Present Progressive,Advanced
175,Choose the correct question: “___ you hungry?”,Are,Do,Is,Can,A,Yes/No Questions,Basic
176,Form a yes/no question: “___ she like pizza?”,Do,Does,Is,Did,B,Yes/No Questions,Intermediate
177,Identify the correct question:,Did he go to the party?,Did he went to the party?,He did go to the party?,He did went to the party?,A,Yes/No Questions,Advanced
178,Choose the correct adverb: “She ___ forgets her keys.”,often,always,never,All of the above,D,Adverbs of Frequency,Basic
179,Fill in the blank: “We ___ go to the movies on Sundays.”,sometimes,sometime,somewhen,occasionally,A,Adverbs of Frequency,Intermediate
180,Identify the best placement: “He ___ is late.”,always,is always,always is,is late always,B,Adverbs of Frequency,Advanced
181,Choose the correct sentence: “___ a lot of people at the concert.”,There is,There are,There was,There be,B,There is/are/was/were,Basic
182,Complete the sentence: “___ a spider in the bathtub last night.”,There are,There is,There was,There were,C,There is/are/was/were,Intermediate
183,Identify the correct sentence:,There were an accident.,There was an accident.,There is an accident yesterday.,There be an accident.,B,There is/are/was/were,Advanced
184,Choose the correct sentence: “I ___ play the guitar.”,can,may,should,have,A,Modal of Ability (present),Basic
185,Fill in the blank: “He ___ speak four languages fluently.”,could,can,must,may,B,Modal of Ability (present),Intermediate
186,Choose the correct usage:,She can dances well.,She cans dance well.,She can dance well.,She can to dance well.,C,Modal of Ability (present),Advanced
187,Choose the past tense of “have”: “I ___ a pet when I was 10.”,have,has,had,having,C,Simple Past,Basic
188,Complete the sentence: “She ___ to the park yesterday.”,goes,gone,went,going,C,Simple Past,Intermediate
189,Identify the correct sentence:,We goed to school.,We went to school.,We going to school.,We gone to school.,B,Simple Past,Advanced
190,Choose the correct preposition: “My birthday is ___ October.”,at,in,on,to,B,Prepositions of Time,Basic
191,Fill in the blank: “The meeting is ___ 2 PM.”,on,in,at,by,C,Prepositions of Time,Intermediate
192,Choose the best sentence:,I was born at 1990.,I was born in 1990.,I was born on 1990.,I was born by 1990.,B,Prepositions of Time,Advanced
193,Choose the correct preposition: “The cat is ___ the sofa.”,in,on,under,over,C,Prepositions of Place,Basic
194,Complete the sentence: “The books are ___ the shelf.”,at,in,on,under,C,Prepositions of Place,Intermediate
195,Identify the correct usage:,The shoes are under the bed.,The shoes are into the bed.,The shoes are onto the bed.,The shoes are over to the bed.,A,Prepositions of Place,Advanced
196,Choose the correct question word: “___ is your best friend?”,What,Where,Who,Why,C,Wh- Questions,Basic
197,Fill in the blank: “___ are you going after school?”,Where,When,Why,Who,A,Wh- Questions,Intermediate
198,Choose the correct structure:,When he arrives?,When does he arrive?,When he does arrive?,When do he arrive?,B,Wh- Questions,Advanced
199,Choose the correct form: “I ___ watching TV when the lights went out.”,am,was,were,be,B,Past Progressive,Basic
200,Complete the sentence: “They ___ sleeping when we got home.”,was,are,were,have,C,Past Progressive,Intermediate
201,Identify the correct sentence:,She was studying while her brother played.,She studying while her brother played.,She studies while her brother played.,She was study while her brother played.,A,Past Progressive,Advanced
202,"Choose the correct sentence: “When I was a child, I ___ climb trees.”",could,can,may,might,A,Modals of Ability - Past,Basic
203,Complete the sentence: “She ___ run very fast in school.”,might,could,should,will,B,Modals of Ability - Past,Intermediate
204,Choose the correct usage:,I could danced well.,I could dance well.,I can danced well.,I can dance well in the past.,B,Modals of Ability - Past,Advanced
205,Choose the correct preposition: “She walked ___ the room.”,into,on,under,to,A,Prepositions of Direction,Basic
206,Fill in the blank: “The dog ran ___ the street.”,across,along,under,beside,A,Prepositions of Direction,Intermediate
207,Identify the correct sentence:,He walked across the river.,He walked in across the river.,He walked at across the river.,He walked cross the river.,A,Prepositions of Direction,Advanced
208,Choose the correct form: “I ___ call you later.”,will,shall,do,can,A,Simple Future,Basic
209,Complete the sentence: “She ___ start her new job next week.”,is going to,is go to,will going to,shall go to,A,Simple Future,Intermediate
210,Identify the correct usage:,They will goes on vacation.,They go on vacation.,They will go on vacation.,They going on vacation.,C,Simple Future,Advanced
211,Choose the correct form: “He is ___ to waking up early.”,be used,used,being used,used to,D,Get Used To / Be Used to,Basic
212,Complete the sentence: “I’m getting ___ the noise.”,used to,use to,use,used,A,Get Used To / Be Used to,Intermediate
213,Identify the correct usage:,She is used to work hard.,She is used to working hard.,She gets used working hard.,She gets use to working hard.,B,Get Used To / Be Used to,Advanced
214,Which is a non-count noun?,Music,Car,Bottle,Apple,A,Count and Non-count Nouns,Basic
215,Identify the count noun:,Furniture,Traffic,Chair,Water,C,Count and Non-count Nouns,Intermediate
216,Choose the correct usage:,There is too much chairs.,There are too much chairs.,There are too many chairs.,There is many chairs.,C,Count and Non-count Nouns,Advanced
217,Choose the correct sentence: “There isn’t ___ sugar left.”,many,much,few,a lot,B,Much,Basic
218,Complete the sentence: “How ___ milk do we need?”,some,much,many,any,B,Much,Intermediate
219,Identify the correct form:,There are much apples.,There is many apples.,There are many apples.,There’s many apples.,C,Much,Advanced
220,Choose the correct form: “How ___ books do you have?”,much,many,some,any,B,Many,Basic
221,Complete the sentence: “I have ___ friends in that city.”,many,much,any,few,A,Many,Intermediate
222,Identify the grammatically correct sentence:,She doesn’t have many homework.,She doesn’t has many homework.,She doesn’t have much homework.,She doesn’t have some homework.,C,Many,Advanced
223,"Choose the correct word: “I’d like ___ water, please.”",any,some,many,much,B,Some,Basic
224,Fill in the blank: “Do you need ___ help?”,many,much,any,some,D,Some,Intermediate
225,Identify the correct usage:,I didn’t get some message.,I didn’t get any message.,I didn’t got any message.,I didn’t get no message.,B,Some,Advanced
226,Choose the correct form: “Did you see ___ of them?”,some,much,any,a,C,Any,Basic
227,Complete the sentence: “We don’t need ___ extra chairs.”,some,any,many,much,B,Any,Intermediate
228,Identify the correct usage:,I didn’t eat no cookies.,I didn’t eat any cookies.,I didn’t eat some cookies.,I didn’t ate any cookies.,B,Any,Advanced
229,Choose the adverb: “He sings ___.”,beautiful,beautifully,beauty,beautify,B,Adverbs of Manner,Basic
230,Complete the sentence: “She answered the question ___.”,clear,clearly,cleared,clearing,B,Adverbs of Manner,Intermediate
231,Identify the correct sentence:,The dog barked loudly.,The dog barked loud.,The dog loudly bark.,The dog bark loud.,A,Adverbs of Manner,Advanced
232,Choose the correct form: “That is my ___ book.”,teacher,teachers,teacher’s,teacher is,C,Possessive Nouns,Basic
233,Complete the sentence: “The ___ bikes were stolen.”,children’s,childrens,childrens’,children,A,Possessive Nouns,Intermediate
234,Identify the correct sentence:,The dogs’ tail is long.,The dog’s tail is long.,The dog tail’s is long.,The tail of dog’s is long.,B,Possessive Nouns,Advanced
235,Choose the correct adjective: “I felt ___ after the long day.”,tiring,tired,tiresome,tire,B,Participial Adjectives,Basic
236,Complete the sentence: “The movie was really ___.”,boring,bored,bore,boredom,A,Participial Adjectives,Intermediate
237,Identify the correct usage:,The news is shocked.,The news is shocking.,The news are shocking.,The news shocked.,B,Participial Adjectives,Advanced
238,Choose the correct form: “She has ___ finished her project.”,already,still,yet,ever,A,Present Perfect,Basic
239,Fill in the blank: “Have they ___ eaten dinner?”,yet,ever,already,just,B,Present Perfect,Intermediate
240,Identify the correct sentence:,I have gone to school yesterday.,I have been to school before.,I have go to school yesterday.,I has been to school.,B,Present Perfect,Advanced
241,Choose the correct word: “He likes soccer ___ basketball.”,and,but,or,so,A,Basic Conjunctions,Basic
242,"Complete the sentence: “I was tired, ___ I went to bed early.”",but,or,so,because,C,Basic Conjunctions,Intermediate
243,Identify the best use: “She was sad ___ she didn’t cry.”,or,but,so,and,B,Basic Conjunctions,Advanced
244,Choose the correct advice: “You ___ take an umbrella.”,should,must,may,could,A,Modal of Advice,Basic
245,Complete the sentence: “He ___ see a dentist soon.”,might,should,must,may,B,Modal of Advice,Intermediate
246,Identify the correct sentence:,You should to sleep early.,You should sleep early.,You should sleeping early.,You should sleeps early.,B,Modal of Advice,Advanced
247,Choose the correct modal: “Students ___ bring their homework.”,can,must,should,might,B,Modal of Necessity & Obligation,Basic
